stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
StopPoint:GIND1,"Gare d'Indre",,47.20488859,-1.66227247,,,0,StopArea:GIND,1
StopPoint:GIND2,"Gare d'Indre",,47.20499673,-1.66175187,,,0,StopArea:GIND,1
StopPoint:GIQU1,"Gicquelière",,47.25805673,-1.45894604,,,0,StopArea:GIQU,1
StopPoint:GIQU2,"Gicquelière",,47.25814223,-1.45908439,,,0,StopArea:GIQU,1
StopPoint:GLAU1,"Grillaud",,47.21972216,-1.58181162,,,0,StopArea:GLAU,1
StopPoint:GLAU2,"Grillaud",,47.22026571,-1.58171923,,,0,StopArea:GLAU,1
StopPoint:GLDE1,"Grande Lande",,47.19246766,-1.49776396,,,0,StopArea:GLDE,1
StopPoint:GLDE2,"Grande Lande",,47.19229235,-1.49761927,,,0,StopArea:GLDE,1
StopPoint:GLIE1,"Gilière",,47.29942955,-1.55257368,,,0,StopArea:GLIE,2
StopPoint:GLIE2,"Gilière",,47.29922316,-1.55335302,,,0,StopArea:GLIE,1
StopPoint:GLNE1,"Galarne",,47.20814414,-1.52994633,,,0,StopArea:GLNE,1
StopPoint:GLNE2,"Galarne",,47.20814857,-1.52981448,,,0,StopArea:GLNE,1
StopPoint:GLOU1,"Grange au Loup",,47.26291822,-1.51604758,,,0,StopArea:GLOU,2
StopPoint:GLOU2,"Grange au Loup",,47.26328202,-1.51594150,,,0,StopArea:GLOU,2
StopPoint:GMAR1,"Gare Maritime",,47.20707513,-1.57291836,,,0,StopArea:GMAR,1
StopPoint:GMAR2,"Gare Maritime",,47.20702179,-1.57337573,,,0,StopArea:GMAR,1
StopPoint:GMAR3,"Gare Maritime",,47.20687800,-1.57280880,,,0,StopArea:GMAR,1
StopPoint:GMAR9,"Gare Maritime",,47.20523842,-1.57334983,,,0,StopArea:GMAR,1
StopPoint:GMOL1,"Guy Mollet",,47.24904628,-1.55367050,,,0,StopArea:GMOL,1
StopPoint:GMOL2,"Guy Mollet",,47.24921707,-1.55394747,,,0,StopArea:GMOL,1
StopPoint:GNRA1,"Gréneraie",,47.19976227,-1.53357870,,,0,StopArea:GNRA,1
StopPoint:GNRA2,"Gréneraie",,47.19952989,-1.53349846,,,0,StopArea:GNRA,1
StopPoint:GNRA3,"Gréneraie",,47.19944927,-1.53407540,,,0,StopArea:GNRA,1
StopPoint:GNRA4,"Gréneraie",,47.19927843,-1.53379875,,,0,StopArea:GNRA,1
StopPoint:GNRA5,"Gréneraie",,47.19939484,-1.53301429,,,0,StopArea:GNRA,1
